form	lemma	xpostag	NP-BIO	NER-BIO
Mátraszentanna	Mátraszentanna	[/N][Nom]	B-NP	O
kicsi	kicsi	[/Adj][Nom]	I-NP	O
hegyi	hegyi	[/Adj][Nom]	I-NP	O
község	község	[/N][Nom]	E-NP	O
.	.	[Punct]	O	O
Csatornázása	csatornázás	[/N][Poss.3Sg][Nom]	1-NP	O
nincs	nincs	[/V][Prs.NDef.3Sg]	O	O
.	.	[Punct]	O	O
Ahhoz	az	[/Det|Pro][All]	1-NP	O
,	,	[Punct]	O	O
hogy	hogy	[/Cnj]	O	O
valakinek	valaki	[/N|Pro][Dat]	1-NP	O
vízöblítéses	vízöblítéses	[/Adj][Nom]	B-NP	O
árnyékszéke	árnyékszék	[/N][Poss.3Sg][Nom]	E-NP	O
legyen	van	[/V][Sbjv.NDef.3Sg]	O	O
,	,	[Punct]	O	O
külön	külön	[/Adj][Nom]	B-NP	O
kútszivattyút	kútszivattyú	[/N][Acc]	E-NP	O
kell	kell	[/V][Prs.NDef.3Sg]	O	O
felszerelnie	felszerel	[/V][Inf.3Sg]	O	O
.	.	[Punct]	O	O
Ilyet	ilyen	[/Adj|Pro][Acc]	1-NP	O
azonban	azonban	[/Cnj]	O	O
csak	csak	[/Adv]	O	O
Cipriani	Cipriani	[/N][Nom]	B-NP	O
professzor	professzor	[/N][Nom]	I-NP	O
,	,	[Punct]	I-NP	O
a	a	[/Det|Art.Def]	I-NP	O
község	község	[/N][Nom]	E-NP	O
egyetlen	egyetlen	[/Num][Nom]	B-NP	O
villatulajdonosa	villatulajdonos	[/N][Poss.3Sg][Nom]	E-NP	O
mondhatott	mond	[/V][_Mod/V][Pst.NDef.3Sg]	O	O
a	a	[/Det|Art.Def]	B-NP	O
magáénak	maga	[/N|Pro][3Sg][AnP][Dat]	E-NP	O
.	.	[Punct]	O	O
A	a	[/Det|Art.Def]	B-NP	O
többiek	többi	[/Adj|Pro][Pl][Nom]	E-NP	O
álmodni	álmodik	[/V][Inf]	O	O
se	se	[/Adv]	O	O
mertek	mer	[/V][Prs.NDef.2Pl]	O	O
róla	ő	[/N|Pro][Del][3Sg]	1-NP	O
.	.	[Punct]	O	O
Tóték	Tót	[/N][Fam.Pl][Nom]	1-NP	O
se	se	[/Adv]	O	O
.	.	[Punct]	O	O
Tótéknak	Tót	[/N][Fam.Pl][Dat]	1-NP	O
,	,	[Punct]	O	O
mint	mint	[/Cnj]	O	O
a	a	[/Det|Art.Def]	B-NP	O
többi	többi	[/Adj|Pro][Nom]	I-NP	O
kisembereknek	kisember	[/N][Pl][Dat]	E-NP	O
,	,	[Punct]	O	O
csak	csak	[/Adv]	O	O
budijuk	budi	[/N][Poss.3Pl][Nom]	1-NP	O
volt	van	[/V][Pst.NDef.3Sg]	O	O
.	.	[Punct]	O	O
Tóték	Tót	[/N][Fam.Pl][Nom]	O	O
háza	ház	[/N][Poss.3Sg][Nom]	O	O
előtt	előtt	[/Post]	O	O
a	a	[/Det|Art.Def]	B-NP	O
műúton	műút	[/N][Supe]	E-NP	O
egy	egy	[/Det|Art.NDef]	B-NP	O
rossz	rossz	[/Adj][Nom]	I-NP	O
szagot	szag	[/N][Acc]	I-NP	O
árasztó	árasztó	[/Adj][Nom]	I-NP	O
szivattyús	szivattyús	[/Adj][Nom]	I-NP	O
lajt	lajt	[/N][Nom]	E-NP	O
állott	áll	[/V][Pst.NDef.3Sg]	O	O
,	,	[Punct]	O	O
melyből	amely	[/N|Pro|Rel][Ela]	1-NP	O
karvastagságú	karvastagságú	[/Adj][Nom]	B-NP	O
,	,	[Punct]	I-NP	O
bordázott	bordázott	[/Adj][Nom]	I-NP	O
cső	cső	[/N][Nom]	E-NP	O
vezetett	vezet	[/V][Pst.NDef.3Sg]	O	O
be	be	[/Prev]	O	O
a	a	[/Det|Art.Def]	B-NP	O
léckapun	léckapu	[/N][Supe]	E-NP	O
,	,	[Punct]	O	O
át	át	[/Prev]	O	O
a	a	[/Det|Art.Def]	O	O
dáliák	dália	[/N][Pl][Nom]	O	O
között	között	[/Post]	O	O
,	,	[Punct]	O	O
el	el	[/Prev]	O	O
a	a	[/Det|Art.Def]	O	O
ház	ház	[/N][Nom]	O	O
oldala	oldal	[/N][Poss.3Sg][Nom]	O	O
mellett	mellett	[/Post]	O	O
,	,	[Punct]	O	O
egyenesen	egyenes	[/Adj][_Manner/Adv]	O	O
a	a	[/Det|Art.Def]	B-NP	O
bokros	bokros	[/Adj][Nom]	I-NP	O
violák	viola	[/N][Pl][Nom]	I-NP	O
árnyékában	árnyék	[/N][Poss.3Sg][Ine]	I-NP	O
meghúzódó	meghúzódó	[/Adj][Nom]	I-NP	O
budiba	budi	[/N][Ill]	E-NP	O
.	.	[Punct]	O	O
-	-	[Punct]	O	O
Hát	hát	[/Adv]	O	O
pumpáljak	pumpál	[/V][Sbjv.NDef.1Sg]	O	O
,	,	[Punct]	O	O
vagy	vagy	[/Cnj]	O	O
ne	ne	[/Adv]	O	O
pumpáljak	pumpál	[/V][Sbjv.NDef.1Sg]	O	O
?	?	[Punct]	O	O
-	-	[Punct]	O	O
kérdezte	kérdez	[/V][Pst.Def.3Sg]	O	O
Tót	Tót	[/N][Nom]	B-NP	B-PER
Lajostól	Lajos	[/N][Abl]	E-NP	E-PER
a	a	[/Det|Art.Def]	B-NP	O
lajt	lajt	[/N][Nom]	I-NP	O
tulajdonosa	tulajdonos	[/N][Poss.3Sg][Nom]	E-NP	O
.	.	[Punct]	O	O
-	-	[Punct]	O	O
Az	az	[/Det|Pro][Nom]	O	O
attól	az	[/Det|Pro][Abl]	1-NP	O
függ	függ	[/V][Prs.NDef.3Sg]	O	O
,	,	[Punct]	O	O
hogy	hogy	[/Cnj]	O	O
büdös	büdös	[/Adj][Nom]	1-NP	O
van	van	[/V][Prs.NDef.3Sg]	O	O
-e	-e	[/QPtcl]	O	O
vagy	vagy	[/Cnj]	O	O
nincs	nincs	[/V][Prs.NDef.3Sg]	O	O
;	;	[Punct]	O	O
én	én	[/N|Pro][1Sg][Nom]	1-NP	O
azonban	azonban	[/Cnj]	O	O
már	már	[/Adv]	O	O
úgy	úgy	[/Adv|Pro]	O	O
megszoktam	megszokik	[/V][Pst.Def.1Sg]	O	O
a	a	[/Det|Art.Def]	B-NP	O
szagot	szag	[/N][Acc]	E-NP	O
,	,	[Punct]	O	O
hogy	hogy	[/Cnj]	O	O
ezt	ez	[/Det|Pro][Acc]	1-NP	O
a	a	[/Det|Art.Def]	B-NP	O
doktor	doktor	[/N][Nom]	I-NP	O
úrnak	úr	[/N][Dat]	E-NP	O
kell	kell	[/V][Prs.NDef.3Sg]	O	O
eldöntenie	eldönt	[/V][Inf.3Sg]	O	O
-	-	[Punct]	O	O
válaszolta	válaszol	[/V][Pst.Def.3Sg]	O	O
Tót	Tót	[/N][Nom]	1-NP	O
.	.	[Punct]	O	O
A	a	[/Det|Art.Def]	B-NP	O
lajt	lajt	[/N][Nom]	I-NP	O
tulajdonosa	tulajdonos	[/N][Poss.3Sg][Nom]	E-NP	O
néhány	néhány	[/Num][Nom]	B-NP	O
mély	mély	[/Adj][Nom]	I-NP	O
lélegzetet	lélegzet	[/N][Acc]	E-NP	O
vett	vesz	[/V][Pst.NDef.3Sg]	O	O
,	,	[Punct]	O	O
miközben	miközben	[/Adv|Pro|Rel]	O	O
csukva	csuk	[/V][_AdvPtcp/Adv]	O	O
tartotta	tart	[/V][Pst.Def.3Sg]	O	O
a	a	[/Det|Art.Def]	B-NP	O
szemét	szem	[/N][Poss.3Sg][Acc]	E-NP	O
.	.	[Punct]	O	O
Aztán	aztán	[/Adv|Pro]	O	O
így	így	[/Adv|Pro]	O	O
szólt	szól	[/V][Pst.NDef.3Sg]	O	O
:	:	[Punct]	O	O
-	-	[Punct]	O	O
Őszinte	őszinte	[/Adj][Nom]	1-NP	O
leszek	lesz	[/V][Prs.NDef.1Sg]	O	O
.	.	[Punct]	O	O
Jelenleg	jelenleg	[/Adv]	O	O
a	a	[/Det|Art.Def]	B-NP	O
Tót	Tót	[/N][Nom]	I-NP	O
úr	úr	[/N][Nom]	I-NP	O
árnyékszékének	árnyékszék	[/N][Poss.3Sg][Dat]	E-NP	O
a	a	[/Det|Art.Def]	B-NP	O
szaga	szag	[/N][Poss.3Sg][Nom]	E-NP	O
kissé	kissé	[/Adv]	O	O
szúrós	szúrós	[/Adj][Nom]	1-NP	O
,	,	[Punct]	O	O
de	de	[/Cnj]	O	O
nem	nem	[/Adv]	O	O
kellemetlen	kellemetlen	[/Adj][Nom]	1-NP	O
.	.	[Punct]	O	O
-	-	[Punct]	O	O
Ha	ha	[/Cnj]	O	O
szaga	szag	[/N][Poss.3Sg][Nom]	1-NP	O
van	van	[/V][Prs.NDef.3Sg]	O	O
,	,	[Punct]	O	O
akkor	akkor	[/Adv|Pro]	O	O
pumpáljunk	pumpál	[/V][Sbjv.NDef.1Pl]	O	O
-	-	[Punct]	O	O
mondta	mond	[/V][Pst.Def.3Sg]	O	O
Tót	Tót	[/N][Nom]	1-NP	O
.	.	[Punct]	O	O
-	-	[Punct]	O	O
Gyulánk	Gyula	[/N][Poss.1Pl][Nom]	B-NP	O
életéről	élet	[/N][Poss.3Sg][Del]	E-NP	O
van	van	[/V][Prs.NDef.3Sg]	O	O
szó	szó	[/N][Nom]	1-NP	O
,	,	[Punct]	O	O
kedves	kedves	[/Adj][Nom]	B-NP	O
doktor	doktor	[/N][Nom]	I-NP	O
úr	úr	[/N][Nom]	E-NP	O
.	.	[Punct]	O	O
